,Year,COMMUNITY,count
173,2018,NORTH LAWNDALE,9229
174,2018,NEAR WEST SIDE,9218
175,2022,NEAR WEST SIDE,9179
176,2014,HUMBOLDT PARK,9166
177,2007,LOGAN SQUARE,9164
178,2004,EAST GARFIELD PARK,9121
179,2008,CHATHAM,9108
180,2003,EAST GARFIELD PARK,9101
181,2012,ENGLEWOOD,9079
182,2006,CHATHAM,9063
183,2012,ROSELAND,9012
184,2013,WEST ENGLEWOOD,9004
185,2017,NORTH LAWNDALE,8963
186,2019,NORTH LAWNDALE,8936
187,2014,NEAR NORTH SIDE,8934
188,2006,SOUTH CHICAGO,8928
189,2011,GREATER GRAND CROSSING,8917
190,2015,SOUTH SHORE,8908
191,2017,NEAR WEST SIDE,8896
192,2005,LOOP,8883
193,2015,NEAR NORTH SIDE,8874
194,2016,LOOP,8866
195,2002,AUBURN GRESHAM,8866
196,2008,NEW CITY,8847
197,2004,SOUTH CHICAGO,8842
198,2007,SOUTH CHICAGO,8815
199,2016,NORTH LAWNDALE,8753
200,2012,GREATER GRAND CROSSING,8717
201,2007,LOOP,8702
202,2008,LOGAN SQUARE,8696
203,2006,LOOP,8680
204,2002,ROSELAND,8671
205,2002,LOGAN SQUARE,8664
206,2014,NORTH LAWNDALE,8630
207,2019,SOUTH SHORE,8617
208,2004,LAKE VIEW,8616
209,2003,LAKE VIEW,8611
210,2008,LOOP,8605
211,2009,LOGAN SQUARE,8578
212,2012,CHICAGO LAWN,8576
213,2017,SOUTH SHORE,8569
214,2006,EAST GARFIELD PARK,8565
215,2013,AUBURN GRESHAM,8560
216,2018,SOUTH SHORE,8558
217,2003,BELMONT CRAGIN,8531
218,2003,GRAND BOULEVARD,8520
219,2002,NORTH LAWNDALE,8495
220,2013,NEAR WEST SIDE,8486
221,2007,EAST GARFIELD PARK,8396
222,2005,WEST GARFIELD PARK,8378
223,2006,WEST GARFIELD PARK,8361
224,2003,SOUTH CHICAGO,8337
225,2005,BELMONT CRAGIN,8271
226,2005,EAST GARFIELD PARK,8259
227,2005,SOUTH CHICAGO,8229
228,2022,SOUTH SHORE,8205
229,2013,WEST TOWN,8195
230,2013,ENGLEWOOD,8184
231,2009,BELMONT CRAGIN,8178
232,2017,WEST TOWN,8174
233,2010,LOGAN SQUARE,8157
234,2009,CHATHAM,8151
235,2013,ROSELAND,8143
236,2016,SOUTH SHORE,8129
237,2016,WEST TOWN,8106
238,2004,BELMONT CRAGIN,8100
239,2004,WOODLAWN,8096
240,2008,LAKE VIEW,8072
241,2009,NEW CITY,8060
242,2021,NEAR NORTH SIDE,8050
243,2015,NORTH LAWNDALE,8027
244,2007,WEST PULLMAN,8026
245,2007,WOODLAWN,8004
246,2003,WOODLAWN,8003
247,2002,CHICAGO LAWN,7996
248,2017,HUMBOLDT PARK,7994
249,2007,BELMONT CRAGIN,7991
250,2016,HUMBOLDT PARK,7990
251,2015,HUMBOLDT PARK,7981
252,2007,LAKE VIEW,7975
253,2019,HUMBOLDT PARK,7970
254,2018,HUMBOLDT PARK,7969
255,2009,LOOP,7960
256,2014,AUBURN GRESHAM,7954
257,2007,WEST GARFIELD PARK,7917
258,2008,SOUTH CHICAGO,7911
259,2008,BELMONT CRAGIN,7890
260,2003,LINCOLN PARK,7889
261,2014,NEAR WEST SIDE,7855
262,2004,WEST PULLMAN,7855
263,2004,SOUTH LAWNDALE,7839
264,2010,LOOP,7837
265,2006,WOODLAWN,7837
266,2006,BELMONT CRAGIN,7832
267,2004,WEST GARFIELD PARK,7822
268,2008,EAST GARFIELD PARK,7819
269,2006,LAKE VIEW,7818
270,2005,WOODLAWN,7817
271,2005,WEST PULLMAN,7812
272,2002,GREATER GRAND CROSSING,7776
273,2013,LOOP,7767
274,2015,NEAR WEST SIDE,7766
275,2010,NEW CITY,7737
276,2012,LOOP,7737
277,2015,AUBURN GRESHAM,7727
278,2011,NEW CITY,7726
279,2020,SOUTH SHORE,7723
280,2013,GREATER GRAND CROSSING,7711
281,2022,LOOP,7708
282,2005,LAKE VIEW,7708
283,2007,SOUTH LAWNDALE,7675
284,2009,LAKE VIEW,7654
285,2012,LAKE VIEW,7653
286,2004,GRAND BOULEVARD,7638
287,2006,WEST PULLMAN,7636
288,2003,ROGERS PARK,7628
289,2002,NEW CITY,7617
290,2011,LOOP,7592
291,2004,ROGERS PARK,7587
292,2014,WEST ENGLEWOOD,7584
293,2010,BELMONT CRAGIN,7579
294,2019,AUBURN GRESHAM,7563
295,2016,AUBURN GRESHAM,7563
296,2010,CHATHAM,7510
297,2009,SOUTH CHICAGO,7509
298,2011,LAKE VIEW,7502
299,2005,UPTOWN,7490
300,2005,ROGERS PARK,7484
301,2003,SOUTH LAWNDALE,7483
302,2003,UPTOWN,7464
303,2015,LOOP,7459
304,2010,LAKE VIEW,7458
305,2017,AUBURN GRESHAM,7452
306,2005,SOUTH LAWNDALE,7445
307,2004,UPTOWN,7413
308,2006,SOUTH LAWNDALE,7389
309,2014,ROSELAND,7349
310,2003,WEST GARFIELD PARK,7337
311,2008,WEST GARFIELD PARK,7331
312,2011,LOGAN SQUARE,7313
313,2014,WEST TOWN,7308
314,2021,SOUTH SHORE,7299
315,2018,AUBURN GRESHAM,7294
316,2011,CHATHAM,7290
317,2013,CHICAGO LAWN,7289
318,2004,LINCOLN PARK,7286
319,2014,LOOP,7249
320,2008,SOUTH LAWNDALE,7236
321,2003,WEST PULLMAN,7233
322,2012,CHATHAM,7226
323,2015,WEST ENGLEWOOD,7165
324,2006,ROGERS PARK,7155
325,2013,CHATHAM,7141
326,2018,WEST TOWN,7134
327,2019,WEST TOWN,7116
328,2002,LOOP,7103
329,2014,ENGLEWOOD,7083
330,2020,NEAR NORTH SIDE,7073
331,2020,NORTH LAWNDALE,7042
332,2008,WOODLAWN,7039
333,2018,WEST ENGLEWOOD,7024
334,2008,WEST PULLMAN,7005
335,2009,EAST GARFIELD PARK,6998
336,2022,WEST TOWN,6990
337,2015,ENGLEWOOD,6982
338,2016,WEST ENGLEWOOD,6979
339,2010,EAST GARFIELD PARK,6957
340,2015,WEST TOWN,6930
341,2017,WEST ENGLEWOOD,6899
342,2007,LINCOLN PARK,6899
343,2017,ROSELAND,6880
344,2011,BELMONT CRAGIN,6867
345,2016,ROSELAND,6847
346,2018,ROSELAND,6833
347,2004,DOUGLAS,6826
348,2012,NEW CITY,6812
349,2013,LAKE VIEW,6805
350,2005,DOUGLAS,6805
351,2007,ROGERS PARK,6784
352,2006,UPTOWN,6780
353,2010,SOUTH CHICAGO,6779
354,2009,WOODLAWN,6775
355,2012,LOGAN SQUARE,6763
356,2011,SOUTH CHICAGO,6761
357,2019,CHATHAM,6757
358,2019,GREATER GRAND CROSSING,6718
359,2014,GREATER GRAND CROSSING,6709
360,2008,LINCOLN PARK,6701
361,2021,NEAR WEST SIDE,6697
362,2012,WEST GARFIELD PARK,6668
363,2013,WEST GARFIELD PARK,6665
364,2015,GREATER GRAND CROSSING,6659
365,2006,LINCOLN PARK,6642
366,2009,WEST PULLMAN,6622
367,2019,WEST ENGLEWOOD,6600
