,Year,COMMUNITY,count
764,2003,HYDE PARK,3267
765,2012,EDGEWATER,3265
766,2005,HYDE PARK,3258
767,2016,WEST RIDGE,3256
768,2003,NORTH CENTER,3256
769,2003,LINCOLN SQUARE,3251
770,2021,SOUTH LAWNDALE,3250
771,2009,GARFIELD RIDGE,3235
772,2012,GAGE PARK,3234
773,2008,WEST LAWN,3232
774,2004,HYDE PARK,3230
775,2016,PORTAGE PARK,3224
776,2003,BRIDGEPORT,3217
777,2005,WEST LAWN,3208
778,2007,WEST LAWN,3203
779,2016,WASHINGTON HEIGHTS,3194
780,2019,WASHINGTON HEIGHTS,3193
781,2012,BRIGHTON PARK,3188
782,2023,AUSTIN,3187
783,2020,ROGERS PARK,3184
784,2018,GRAND BOULEVARD,3182
785,2014,WASHINGTON HEIGHTS,3180
786,2022,WOODLAWN,3171
787,2018,PORTAGE PARK,3159
788,2010,MORGAN PARK,3157
789,2018,WASHINGTON HEIGHTS,3139
790,2011,ASHBURN,3131
791,2004,NORTH CENTER,3130
792,2009,DOUGLAS,3127
793,2002,ALBANY PARK,3127
794,2004,BRIDGEPORT,3114
795,2005,BRIDGEPORT,3111
796,2015,WASHINGTON HEIGHTS,3104
797,2011,ALBANY PARK,3092
798,2021,UPTOWN,3073
799,2015,GRAND BOULEVARD,3064
800,2013,LOWER WEST SIDE,3063
801,2009,WEST LAWN,3061
802,2003,HERMOSA,3060
803,2003,DUNNING,3058
804,2015,WEST RIDGE,3053
805,2017,WASHINGTON HEIGHTS,3048
806,2020,WEST RIDGE,3035
807,2002,GAGE PARK,3026
808,2005,NORTH CENTER,2974
809,2017,IRVING PARK,2962
810,2006,BRIDGEPORT,2959
811,2016,IRVING PARK,2958
812,2015,IRVING PARK,2957
813,2022,PORTAGE PARK,2943
814,2012,ALBANY PARK,2939
815,2010,DOUGLAS,2931
816,2002,ASHBURN,2927
817,2014,WASHINGTON PARK,2918
818,2021,WEST RIDGE,2917
819,2003,KENWOOD,2905
820,2011,MORGAN PARK,2905
821,2014,BRIGHTON PARK,2896
822,2013,BRIGHTON PARK,2890
823,2020,GRAND BOULEVARD,2888
824,2008,DUNNING,2885
825,2005,KENWOOD,2880
826,2020,WOODLAWN,2878
827,2019,PORTAGE PARK,2866
828,2022,WASHINGTON HEIGHTS,2866
829,2020,UPTOWN,2843
830,2003,SOUTH DEERING,2842
831,2007,LINCOLN SQUARE,2840
832,2014,IRVING PARK,2826
833,2021,LINCOLN PARK,2824
834,2013,GAGE PARK,2822
835,2004,HERMOSA,2822
836,2012,ASHBURN,2817
837,2006,NORTH CENTER,2810
838,2013,ASHBURN,2808
839,2022,EDGEWATER,2796
840,2021,WOODLAWN,2794
841,2004,DUNNING,2789
842,2018,IRVING PARK,2785
843,2013,DOUGLAS,2785
844,2022,LOWER WEST SIDE,2785
845,2018,WASHINGTON PARK,2780
846,2010,WEST LAWN,2770
847,2012,DOUGLAS,2762
848,2008,LINCOLN SQUARE,2743
849,2007,SOUTH DEERING,2730
850,2022,DOUGLAS,2729
851,2021,GRAND BOULEVARD,2726
852,2020,LINCOLN PARK,2724
853,2023,NEAR NORTH SIDE,2724
854,2002,MORGAN PARK,2719
855,2015,WASHINGTON PARK,2716
856,2013,EDGEWATER,2710
857,2004,KENWOOD,2709
858,2018,EDGEWATER,2708
859,2015,BRIGHTON PARK,2707
860,2012,MORGAN PARK,2706
861,2019,DOUGLAS,2705
862,2016,ASHBURN,2704
863,2006,HERMOSA,2704
864,2017,WASHINGTON PARK,2700
865,2011,DOUGLAS,2696
866,2016,WASHINGTON PARK,2689
867,2014,LOWER WEST SIDE,2689
868,2007,DUNNING,2684
869,2013,ALBANY PARK,2684
870,2011,WEST LAWN,2675
871,2006,HYDE PARK,2675
872,2018,DOUGLAS,2670
873,2013,AVONDALE,2669
874,2009,DUNNING,2661
875,2002,NEAR SOUTH SIDE,2654
876,2008,SOUTH DEERING,2649
877,2005,DUNNING,2639
878,2002,WEST LAWN,2631
879,2008,BRIDGEPORT,2626
880,2016,BRIGHTON PARK,2625
881,2007,NORTH CENTER,2625
882,2014,GAGE PARK,2622
883,2020,WASHINGTON HEIGHTS,2622
884,2010,SOUTH DEERING,2622
885,2007,HERMOSA,2620
886,2005,HERMOSA,2612
887,2004,SOUTH DEERING,2610
888,2009,LINCOLN SQUARE,2607
889,2007,BRIDGEPORT,2602
890,2016,LOWER WEST SIDE,2601
891,2007,HYDE PARK,2598
892,2017,LOWER WEST SIDE,2592
893,2023,NEAR WEST SIDE,2590
894,2010,GARFIELD RIDGE,2584
895,2016,DOUGLAS,2576
896,2017,DOUGLAS,2573
897,2002,LINCOLN SQUARE,2573
898,2020,PORTAGE PARK,2569
899,2017,EDGEWATER,2565
900,2006,SOUTH DEERING,2561
901,2010,LINCOLN SQUARE,2559
902,2014,DOUGLAS,2550
903,2014,ASHBURN,2548
904,2011,GARFIELD RIDGE,2548
905,2003,EAST SIDE,2542
906,2008,NORTH CENTER,2542
907,2022,IRVING PARK,2540
908,2004,CALUMET HEIGHTS,2535
909,2009,SOUTH DEERING,2527
910,2011,SOUTH DEERING,2509
911,2006,OHARE,2508
912,2019,IRVING PARK,2503
913,2015,ALBANY PARK,2501
914,2009,BRIDGEPORT,2498
915,2021,WASHINGTON HEIGHTS,2497
916,2005,SOUTH DEERING,2496
917,2013,MORGAN PARK,2484
918,2015,LOWER WEST SIDE,2475
919,2002,HYDE PARK,2475
920,2006,DUNNING,2475
921,2021,PORTAGE PARK,2473
922,2015,DOUGLAS,2469
923,2017,ASHBURN,2462
924,2012,GARFIELD RIDGE,2461
925,2019,EDGEWATER,2460
926,2003,CALUMET HEIGHTS,2450
927,2007,KENWOOD,2448
928,2007,OHARE,2447
929,2010,BRIDGEPORT,2446
930,2012,WEST LAWN,2442
931,2023,SOUTH SHORE,2438
932,2017,ALBANY PARK,2438
933,2009,HERMOSA,2432
934,2008,HERMOSA,2424
935,2010,HERMOSA,2414
936,2009,NORTH CENTER,2406
937,2004,EAST SIDE,2401
938,2016,ALBANY PARK,2394
939,2014,ALBANY PARK,2385
940,2018,ALBANY PARK,2381
941,2004,AVALON PARK,2380
942,2018,ASHBURN,2372
943,2022,NEAR SOUTH SIDE,2372
944,2021,EDGEWATER,2365
945,2002,BRIDGEPORT,2363
946,2005,AVALON PARK,2362
947,2002,NORTH CENTER,2359
948,2014,AVONDALE,2355
949,2018,LOWER WEST SIDE,2352
950,2016,GAGE PARK,2349
951,2006,KENWOOD,2349
952,2010,DUNNING,2349
953,2006,CALUMET HEIGHTS,2348
954,2007,CALUMET HEIGHTS,2344
955,2016,EDGEWATER,2334
956,2003,RIVERDALE,2329
957,2019,WASHINGTON PARK,2327
958,2011,BRIDGEPORT,2326
959,2012,LINCOLN SQUARE,2325
960,2015,GAGE PARK,2324
961,2019,ASHBURN,2321
962,2008,OHARE,2320
963,2019,LOWER WEST SIDE,2319
964,2005,CALUMET HEIGHTS,2318
965,2011,LINCOLN SQUARE,2310
966,2017,AVONDALE,2308
967,2006,AVALON PARK,2308
968,2014,EDGEWATER,2306
969,2009,KENWOOD,2300
970,2008,AVALON PARK,2299
971,2018,AVONDALE,2297
972,2010,KENWOOD,2295
973,2008,KENWOOD,2291
974,2012,SOUTH DEERING,2288
975,2003,AVALON PARK,2284
976,2015,ASHBURN,2275
977,2017,GAGE PARK,2273
978,2005,EAST SIDE,2272
979,2002,DUNNING,2263
980,2016,AVONDALE,2262
981,2008,CALUMET HEIGHTS,2262
982,2007,AVALON PARK,2253
983,2004,RIVERDALE,2250
984,2014,SOUTH DEERING,2249
985,2013,WEST LAWN,2245
986,2009,NEAR SOUTH SIDE,2236
987,2010,HYDE PARK,2234
988,2020,EDGEWATER,2229
989,2021,DOUGLAS,2222
990,2013,LINCOLN SQUARE,2215
991,2015,AVONDALE,2215
992,2011,CALUMET HEIGHTS,2215
993,2019,BRIGHTON PARK,2214
994,2008,HYDE PARK,2211
995,2022,WASHINGTON PARK,2209
996,2015,EDGEWATER,2199
997,2019,ALBANY PARK,2195
998,2003,OHARE,2194
999,2017,BRIGHTON PARK,2193
1000,2006,EAST SIDE,2189
1001,2013,SOUTH DEERING,2184
1002,2021,IRVING PARK,2177
1003,2012,BRIDGEPORT,2163
1004,2018,BRIGHTON PARK,2160
1005,2011,DUNNING,2156
1006,2021,LOWER WEST SIDE,2153
1007,2011,HYDE PARK,2151
1008,2019,GAGE PARK,2149
1009,2008,EAST SIDE,2141
1010,2020,DOUGLAS,2139
1011,2014,MORGAN PARK,2132
1012,2022,ALBANY PARK,2132
1013,2013,OHARE,2127
1014,2020,IRVING PARK,2126
1015,2016,WEST LAWN,2126
1016,2019,AVONDALE,2107
1017,2018,MORGAN PARK,2105
1018,2013,GARFIELD RIDGE,2103
1019,2002,SOUTH DEERING,2101
1020,2023,LOOP,2100
1021,2010,CALUMET HEIGHTS,2098
1022,2016,GARFIELD RIDGE,2096
1023,2007,EAST SIDE,2092
1024,2014,WEST LAWN,2090
1025,2017,MORGAN PARK,2082
1026,2009,CALUMET HEIGHTS,2081
1027,2004,OHARE,2080
1028,2004,MCKINLEY PARK,2075
1029,2009,HYDE PARK,2074
1030,2011,KENWOOD,2070
1031,2003,MCKINLEY PARK,2068
1032,2022,BRIGHTON PARK,2067
1033,2003,NORWOOD PARK,2065
1034,2002,HERMOSA,2061
1035,2010,NORTH CENTER,2061
1036,2009,EAST SIDE,2060
1037,2018,GARFIELD RIDGE,2058
1038,2011,HERMOSA,2058
1039,2022,HYDE PARK,2057
1040,2018,GAGE PARK,2052
1041,2012,HERMOSA,2048
1042,2015,MORGAN PARK,2047
1043,2009,OHARE,2024
1044,2015,WEST LAWN,2020
1045,2014,OHARE,2001
1046,2005,OHARE,2001
1047,2010,NEAR SOUTH SIDE,1998
1048,2006,MCKINLEY PARK,1997
1049,2003,PULLMAN,1996
1050,2020,LOWER WEST SIDE,1994
1051,2009,AVALON PARK,1994
1052,2005,RIVERDALE,1988
1053,2002,KENWOOD,1985
1054,2016,MORGAN PARK,1977
1055,2020,ALBANY PARK,1976
1056,2002,RIVERDALE,1974
1057,2008,NORWOOD PARK,1966
1058,2013,HERMOSA,1964
1059,2016,LINCOLN SQUARE,1957
1060,2011,AVALON PARK,1956
1061,2017,LINCOLN SQUARE,1952
1062,2022,ASHBURN,1949
1063,2007,PULLMAN,1948
1064,2022,LINCOLN SQUARE,1943
1065,2011,NORTH CENTER,1940
1066,2020,WASHINGTON PARK,1938
1067,2022,AVONDALE,1938
1068,2003,CLEARING,1932
1069,2003,FULLER PARK,1929
1070,2012,DUNNING,1924
1071,2014,GARFIELD RIDGE,1923
1072,2007,CLEARING,1923
1073,2011,OHARE,1920
1074,2022,GAGE PARK,1919
1075,2012,CALUMET HEIGHTS,1918
1076,2012,NORTH CENTER,1915
1077,2021,WASHINGTON PARK,1914
1078,2012,HYDE PARK,1913
1079,2004,PULLMAN,1912
1080,2018,HYDE PARK,1911
1081,2004,CLEARING,1905
1082,2023,WEST TOWN,1903
1083,2016,NEAR SOUTH SIDE,1902
1084,2018,LINCOLN SQUARE,1902
1085,2017,GARFIELD RIDGE,1899
1086,2015,SOUTH DEERING,1897
1087,2005,MCKINLEY PARK,1896
1088,2022,GARFIELD RIDGE,1893
1089,2014,LINCOLN SQUARE,1892
1090,2013,BRIDGEPORT,1890
1091,2016,SOUTH DEERING,1880
1092,2004,NORWOOD PARK,1878
1093,2010,OHARE,1876
1094,2017,NEAR SOUTH SIDE,1874
1095,2008,CLEARING,1870
1096,2011,EAST SIDE,1865
1097,2012,NEAR SOUTH SIDE,1860
1098,2019,MORGAN PARK,1859
1099,2017,WEST LAWN,1856
1100,2020,ASHBURN,1855
1101,2010,EAST SIDE,1852
1102,2003,JEFFERSON PARK,1851
1103,2019,GARFIELD RIDGE,1845
1104,2019,SOUTH DEERING,1840
1105,2015,NEAR SOUTH SIDE,1840
1106,2010,AVALON PARK,1831
1107,2013,DUNNING,1828
1108,2012,OHARE,1827
1109,2019,NEAR SOUTH SIDE,1818
1110,2020,LINCOLN SQUARE,1816
1111,2005,CLEARING,1812
1112,2013,NEAR SOUTH SIDE,1809
1113,2006,CLEARING,1809
1114,2021,ALBANY PARK,1808
1115,2006,NORWOOD PARK,1808
1116,2012,AVALON PARK,1803
1117,2014,BRIDGEPORT,1797
1118,2012,KENWOOD,1792
1119,2006,JEFFERSON PARK,1792
1120,2005,PULLMAN,1791
1121,2003,WEST ELSDON,1787
1122,2023,NORTH LAWNDALE,1786
1123,2007,MCKINLEY PARK,1786
1124,2018,NEAR SOUTH SIDE,1782
1125,2014,HERMOSA,1779
1126,2015,GARFIELD RIDGE,1779
1127,2020,AVONDALE,1772
1128,2007,NORWOOD PARK,1772
1129,2008,MCKINLEY PARK,1768
1130,2018,WEST LAWN,1766
1131,2022,KENWOOD,1765
1132,2014,NEAR SOUTH SIDE,1764
1133,2021,BRIGHTON PARK,1763
1134,2019,LINCOLN SQUARE,1760
1135,2011,NEAR SOUTH SIDE,1760
1136,2020,BRIGHTON PARK,1759
1137,2021,ASHBURN,1758
1138,2008,JEFFERSON PARK,1758
1139,2012,EAST SIDE,1742
1140,2021,NEAR SOUTH SIDE,1741
1141,2017,SOUTH DEERING,1741
1142,2016,DUNNING,1739
1143,2015,LINCOLN SQUARE,1739
1144,2004,BEVERLY,1739
1145,2016,HYDE PARK,1737
1146,2006,WEST ELSDON,1735
1147,2022,SOUTH DEERING,1733
1148,2022,MORGAN PARK,1733
1149,2018,SOUTH DEERING,1730
1150,2005,NORWOOD PARK,1730
1151,2016,OHARE,1729
1152,2005,BEVERLY,1728
1153,2009,MCKINLEY PARK,1727
1154,2002,CALUMET HEIGHTS,1725
1155,2007,ARCHER HEIGHTS,1725
1156,2023,CHATHAM,1717
1157,2013,NORTH CENTER,1717
1158,2021,MORGAN PARK,1713
1159,2020,GAGE PARK,1710
1160,2003,ARMOUR SQUARE,1710
1161,2003,BEVERLY,1709
1162,2008,WEST ELSDON,1709
1163,2004,WEST ELSDON,1708
1164,2015,HERMOSA,1705
1165,2023,GREATER GRAND CROSSING,1701
1166,2004,JEFFERSON PARK,1701
1167,2002,EAST SIDE,1700
1168,2009,NORWOOD PARK,1696
1169,2023,AUBURN GRESHAM,1692
1170,2005,ARMOUR SQUARE,1692
1171,2019,HYDE PARK,1686
1172,2006,PULLMAN,1685
1173,2019,WEST LAWN,1684
1174,2017,HYDE PARK,1680
1175,2016,BRIDGEPORT,1677
1176,2007,WEST ELSDON,1674
1177,2002,OHARE,1670
1178,2008,PULLMAN,1670
1179,2013,HYDE PARK,1663
1180,2020,MORGAN PARK,1661
1181,2019,OHARE,1651
1182,2021,GAGE PARK,1648
1183,2004,ARMOUR SQUARE,1646
1184,2009,CLEARING,1644
1185,2021,HYDE PARK,1640
1186,2013,AVALON PARK,1637
1187,2021,LINCOLN SQUARE,1634
1188,2006,ARCHER HEIGHTS,1634
1189,2017,OHARE,1633
1190,2008,BEVERLY,1632
1191,2009,ARCHER HEIGHTS,1631
1192,2015,DUNNING,1626
1193,2023,HUMBOLDT PARK,1626
1194,2006,ARMOUR SQUARE,1621
1195,2020,SOUTH DEERING,1620
1196,2006,RIVERDALE,1615
1197,2022,OHARE,1615
1198,2003,ARCHER HEIGHTS,1614
1199,2007,JEFFERSON PARK,1612
1200,2013,CALUMET HEIGHTS,1611
1201,2005,WEST ELSDON,1610
1202,2009,WEST ELSDON,1605
1203,2002,AVALON PARK,1604
1204,2005,ARCHER HEIGHTS,1603
1205,2004,ARCHER HEIGHTS,1598
1206,2005,JEFFERSON PARK,1596
1207,2013,KENWOOD,1592
1208,2005,NORTH PARK,1592
1209,2015,OHARE,1588
1210,2015,BRIDGEPORT,1587
1211,2012,RIVERDALE,1583
1212,2014,CALUMET HEIGHTS,1579
1213,2018,OHARE,1573
1214,2022,WEST LAWN,1571
1215,2014,DUNNING,1559
1216,2008,ARCHER HEIGHTS,1555
1217,2023,ROSELAND,1553
1218,2006,NORTH PARK,1550
1219,2021,AVONDALE,1546
1220,2020,NEAR SOUTH SIDE,1544
1221,2016,HERMOSA,1543
1222,2007,BEVERLY,1543
1223,2014,NORTH CENTER,1531
1224,2012,ARMOUR SQUARE,1530
1225,2011,RIVERDALE,1529
1226,2007,RIVERDALE,1525
1227,2021,GARFIELD RIDGE,1524
1228,2002,MCKINLEY PARK,1521
1229,2006,BEVERLY,1520
1230,2020,GARFIELD RIDGE,1518
1231,2022,DUNNING,1516
1232,2004,FULLER PARK,1514
1233,2022,BRIDGEPORT,1513
1234,2008,NORTH PARK,1511
1235,2006,FULLER PARK,1510
1236,2004,NORTH PARK,1502
1237,2017,KENWOOD,1500
1238,2007,NORTH PARK,1497
1239,2013,EAST SIDE,1496
1240,2017,HERMOSA,1495
1241,2013,RIVERDALE,1491
1242,2009,JEFFERSON PARK,1491
1243,2014,AVALON PARK,1488
1244,2017,DUNNING,1488
1245,2018,BRIDGEPORT,1488
1246,2018,DUNNING,1485
1247,2015,HYDE PARK,1485
1248,2021,DUNNING,1484
1249,2011,WEST ELSDON,1484
1250,2010,MCKINLEY PARK,1483
1251,2014,KENWOOD,1478
1252,2017,BRIDGEPORT,1476
1253,2012,NORWOOD PARK,1461
1254,2003,NORTH PARK,1461
1255,2015,CALUMET HEIGHTS,1454
1256,2009,PULLMAN,1445
1257,2010,NORWOOD PARK,1441
1258,2011,ARMOUR SQUARE,1441
1259,2011,NORWOOD PARK,1438
1260,2019,BRIDGEPORT,1437
1261,2021,SOUTH DEERING,1434
1262,2002,NORWOOD PARK,1434
1263,2018,KENWOOD,1432
1264,2002,BEVERLY,1431
1265,2011,MCKINLEY PARK,1428
1266,2002,CLEARING,1421
1267,2007,FULLER PARK,1416
1268,2019,CALUMET HEIGHTS,1409
1269,2014,HYDE PARK,1408
1270,2002,JEFFERSON PARK,1407
1271,2012,JEFFERSON PARK,1407
1272,2020,HYDE PARK,1404
1273,2016,CALUMET HEIGHTS,1403
1274,2010,CLEARING,1397
1275,2016,KENWOOD,1396
1276,2010,WEST ELSDON,1395
1277,2010,RIVERDALE,1395
1278,2010,JEFFERSON PARK,1394
1279,2019,RIVERDALE,1391
1280,2018,HERMOSA,1388
1281,2005,FULLER PARK,1386
1282,2008,FULLER PARK,1384
1283,2009,BEVERLY,1383
1284,2021,OHARE,1382
1285,2014,EAST SIDE,1382
1286,2014,RIVERDALE,1378
1287,2010,PULLMAN,1372
1288,2017,NORTH CENTER,1371
1289,2016,NORTH CENTER,1369
1290,2015,NORTH CENTER,1369
1291,2018,CALUMET HEIGHTS,1368
1292,2008,RIVERDALE,1367
1293,2010,ARMOUR SQUARE,1367
1294,2012,WEST ELSDON,1367
1295,2009,RIVERDALE,1364
1296,2019,KENWOOD,1360
1297,2015,AVALON PARK,1359
1298,2010,ARCHER HEIGHTS,1356
1299,2017,CALUMET HEIGHTS,1344
1300,2018,RIVERDALE,1344
1301,2023,ENGLEWOOD,1342
1302,2008,ARMOUR SQUARE,1341
1303,2017,RIVERDALE,1340
1304,2002,WEST ELSDON,1340
1305,2012,MCKINLEY PARK,1340
1306,2002,PULLMAN,1339
1307,2011,CLEARING,1338
1308,2013,JEFFERSON PARK,1334
1309,2019,DUNNING,1332
1310,2015,KENWOOD,1330
1311,2016,EAST SIDE,1328
1312,2020,DUNNING,1327
1313,2023,LAKE VIEW,1324
1314,2002,ARMOUR SQUARE,1315
1315,2022,CALUMET HEIGHTS,1311
1316,2016,NORWOOD PARK,1307
1317,2016,AVALON PARK,1305
1318,2015,EAST SIDE,1302
1319,2021,CALUMET HEIGHTS,1302
1320,2011,JEFFERSON PARK,1300
1321,2022,NORTH CENTER,1295
1322,2019,HERMOSA,1293
1323,2013,ARMOUR SQUARE,1292
1324,2009,NORTH PARK,1292
1325,2013,WEST ELSDON,1291
1326,2022,HERMOSA,1291
1327,2018,NORTH CENTER,1287
1328,2021,KENWOOD,1286
1329,2010,BEVERLY,1285
1330,2011,ARCHER HEIGHTS,1284
1331,2019,AVALON PARK,1284
1332,2003,MONTCLARE,1277
1333,2012,CLEARING,1277
1334,2002,FULLER PARK,1276
1335,2013,MCKINLEY PARK,1276
1336,2023,CHICAGO LAWN,1269
1337,2016,RIVERDALE,1268
1338,2017,AVALON PARK,1268
1339,2020,BRIDGEPORT,1258
1340,2012,PULLMAN,1258
1341,2020,CALUMET HEIGHTS,1253
1342,2014,NORWOOD PARK,1249
1343,2015,NORWOOD PARK,1248
1344,2021,HERMOSA,1246
1345,2020,WEST LAWN,1242
1346,2022,RIVERDALE,1241
1347,2021,BRIDGEPORT,1239
1348,2019,NORTH CENTER,1238
1349,2021,WEST LAWN,1237
1350,2011,BEVERLY,1232
1351,2023,LOGAN SQUARE,1231
1352,2014,JEFFERSON PARK,1226
1353,2013,NORWOOD PARK,1224
1354,2022,NORWOOD PARK,1224
1355,2012,FULLER PARK,1222
1356,2014,ARMOUR SQUARE,1221
1357,2009,ARMOUR SQUARE,1219
1358,2007,ARMOUR SQUARE,1216
1359,2010,FULLER PARK,1215
1360,2014,PULLMAN,1211
1361,2023,WEST ENGLEWOOD,1209
1362,2017,EAST SIDE,1203
1363,2016,PULLMAN,1203
1364,2013,ARCHER HEIGHTS,1198
1365,2012,BEVERLY,1197
1366,2023,BELMONT CRAGIN,1197
1367,2023,SOUTH CHICAGO,1196
1368,2012,ARCHER HEIGHTS,1195
1369,2018,PULLMAN,1193
1370,2011,PULLMAN,1189
1371,2010,NORTH PARK,1187
1372,2011,FULLER PARK,1187
1373,2020,AVALON PARK,1186
1374,2020,KENWOOD,1176
1375,2020,HERMOSA,1166
1376,2015,RIVERDALE,1165
1377,2019,PULLMAN,1159
1378,2021,NORWOOD PARK,1152
1379,2022,AVALON PARK,1151
1380,2018,AVALON PARK,1147
1381,2013,PULLMAN,1146
1382,2018,NORWOOD PARK,1146
1383,2009,FULLER PARK,1144
1384,2015,JEFFERSON PARK,1139
1385,2022,EAST SIDE,1138
1386,2019,NORWOOD PARK,1132
1387,2020,OHARE,1131
1388,2002,ARCHER HEIGHTS,1125
1389,2003,MOUNT GREENWOOD,1125
1390,2022,ARMOUR SQUARE,1125
1391,2002,NORTH PARK,1119
1392,2011,NORTH PARK,1115
1393,2013,CLEARING,1114
1394,2021,AVALON PARK,1106
1395,2021,RIVERDALE,1105
1396,2016,WEST ELSDON,1096
1397,2004,MOUNT GREENWOOD,1095
1398,2020,NORTH CENTER,1094
1399,2018,EAST SIDE,1091
1400,2017,PULLMAN,1085
1401,2012,NORTH PARK,1081
1402,2009,MONTCLARE,1080
1403,2018,JEFFERSON PARK,1077
1404,2013,FULLER PARK,1075
1405,2016,JEFFERSON PARK,1069
1406,2017,NORWOOD PARK,1069
1407,2023,ROGERS PARK,1066
1408,2015,MCKINLEY PARK,1064
1409,2003,HEGEWISCH,1062
1410,2015,ARMOUR SQUARE,1060
1411,2023,UPTOWN,1059
1412,2020,RIVERDALE,1057
1413,2007,MONTCLARE,1055
1414,2014,MCKINLEY PARK,1053
1415,2014,ARCHER HEIGHTS,1049
1416,2017,MCKINLEY PARK,1038
1417,2022,JEFFERSON PARK,1035
1418,2016,MCKINLEY PARK,1033
1419,2015,PULLMAN,1033
1420,2023,NEW CITY,1032
1421,2005,MOUNT GREENWOOD,1032
1422,2017,JEFFERSON PARK,1031
1423,2015,WEST ELSDON,1031
1424,2004,MONTCLARE,1030
1425,2023,WEST GARFIELD PARK,1029
1426,2013,BEVERLY,1019
1427,2019,ARMOUR SQUARE,1015
1428,2023,SOUTH LAWNDALE,1012
1429,2014,WEST ELSDON,1010
1430,2017,WEST ELSDON,1009
1431,2017,ARMOUR SQUARE,1008
1432,2018,WEST ELSDON,1007
1433,2016,ARMOUR SQUARE,1004
1434,2019,EAST SIDE,1000
1435,2023,EAST GARFIELD PARK,998
1436,2014,CLEARING,997
1437,2005,MONTCLARE,997
1438,2018,ARMOUR SQUARE,994
1439,2004,HEGEWISCH,993
1440,2008,MONTCLARE,992
1441,2020,NORWOOD PARK,989
1442,2006,MONTCLARE,988
1443,2021,EAST SIDE,987
1444,2018,NORTH PARK,986
1445,2015,ARCHER HEIGHTS,981
1446,2022,CLEARING,979
1447,2022,ARCHER HEIGHTS,978
1448,2016,BEVERLY,977
1449,2020,JEFFERSON PARK,975
1450,2021,NORTH CENTER,974
1451,2015,BEVERLY,969
1452,2016,NORTH PARK,965
1453,2016,CLEARING,964
1454,2006,HEGEWISCH,964
1455,2019,JEFFERSON PARK,960
1456,2022,NORTH PARK,960
1457,2007,MOUNT GREENWOOD,959
1458,2008,HEGEWISCH,957
1459,2017,NORTH PARK,950
1460,2006,MOUNT GREENWOOD,948
1461,2018,CLEARING,942
1462,2008,OAKLAND,939
1463,2020,EAST SIDE,938
1464,2007,OAKLAND,938
1465,2019,CLEARING,930
1466,2022,PULLMAN,930
1467,2014,FULLER PARK,929
1468,2016,FULLER PARK,927
1469,2008,MOUNT GREENWOOD,925
1470,2023,WEST PULLMAN,923
1471,2015,CLEARING,922
1472,2005,HEGEWISCH,922
1473,2023,GRAND BOULEVARD,918
1474,2010,MOUNT GREENWOOD,916
1475,2021,CLEARING,915
1476,2013,NORTH PARK,914
1477,2020,PULLMAN,910
1478,2019,BEVERLY,909
1479,2021,PULLMAN,909
1480,2023,WEST RIDGE,907
1481,2021,ARMOUR SQUARE,904
1482,2019,FULLER PARK,902
1483,2018,MCKINLEY PARK,901
1484,2014,BEVERLY,899
1485,2010,MONTCLARE,899
1486,2019,WEST ELSDON,898
1487,2002,MONTCLARE,898
1488,2003,OAKLAND,892
1489,2004,OAKLAND,891
1490,2018,BEVERLY,890
1491,2009,MOUNT GREENWOOD,886
1492,2016,ARCHER HEIGHTS,878
1493,2017,CLEARING,878
1494,2023,WASHINGTON HEIGHTS,877
1495,2017,FULLER PARK,873
1496,2014,NORTH PARK,872
1497,2005,OAKLAND,872
1498,2017,BEVERLY,869
1499,2022,BEVERLY,869
1500,2005,FOREST GLEN,864
1501,2010,OAKLAND,859
1502,2007,HEGEWISCH,858
1503,2002,OAKLAND,851
1504,2022,MCKINLEY PARK,851
1505,2011,MONTCLARE,850
1506,2009,OAKLAND,847
1507,2022,WEST ELSDON,844
1508,2023,LINCOLN PARK,842
1509,2023,WOODLAWN,841
1510,2020,CLEARING,836
1511,2017,ARCHER HEIGHTS,836
1512,2020,ARMOUR SQUARE,835
1513,2003,FOREST GLEN,835
1514,2020,BEVERLY,833
1515,2015,FULLER PARK,830
1516,2018,FULLER PARK,829
1517,2015,NORTH PARK,828
1518,2019,MCKINLEY PARK,823
1519,2002,MOUNT GREENWOOD,822
1520,2011,HEGEWISCH,822
1521,2021,JEFFERSON PARK,818
1522,2018,ARCHER HEIGHTS,813
1523,2009,HEGEWISCH,807
1524,2019,ARCHER HEIGHTS,803
1525,2023,PORTAGE PARK,797
1526,2006,OAKLAND,796
1527,2023,IRVING PARK,795
1528,2011,OAKLAND,792
1529,2019,NORTH PARK,789
1530,2006,FOREST GLEN,782
1531,2023,EDGEWATER,781
1532,2008,FOREST GLEN,780
1533,2012,MONTCLARE,780
1534,2021,BEVERLY,773
1535,2004,FOREST GLEN,773
1536,2012,OAKLAND,772
1537,2010,HEGEWISCH,765
1538,2020,NORTH PARK,752
1539,2009,FOREST GLEN,740
1540,2022,OAKLAND,740
1541,2012,HEGEWISCH,739
1542,2008,BURNSIDE,737
1543,2020,MCKINLEY PARK,735
1544,2023,DOUGLAS,735
1545,2007,FOREST GLEN,735
1546,2004,BURNSIDE,734
1547,2007,BURNSIDE,734
1548,2011,MOUNT GREENWOOD,725
1549,2023,LOWER WEST SIDE,717
1550,2020,WEST ELSDON,716
1551,2013,HEGEWISCH,715
1552,2005,BURNSIDE,713
1553,2002,HEGEWISCH,712
